Time,Type,Trial,L Dia [mm],L Area [mm],R Dia [mm],R Area [mm],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Trigger
554404373,SMP,1,4.48,4.84,4.66,4.84,102.99,648.51,81.39,646.97,0
554406374,SMP,1,4.48,4.84,4.66,4.66,95.58,647.06,84.61,645.47,0
554408353,SMP,1,4.48,4.84,4.66,4.66,99.17,648.25,74.58,647.53,0
554410387,SMP,1,4.48,4.66,4.66,4.66,93.15,653.36,76.79,650.74,0
554412373,SMP,1,4.48,4.84,4.84,4.84,96.4,647.36,84.72,644.9,0
554414374,SMP,1,4.48,4.66,4.66,4.84,93.23,655.39,77.95,639.95,0
554416375,SMP,1,4.48,4.84,4.66,4.66,94.79,637.97,79.68,644.54,0
554418370,SMP,1,4.66,4.84,4.66,4.66,95.8,631.46,73.95,647.71,0
554420427,SMP,1,4.48,4.84,4.66,4.66,92.72,643.31,80.52,645.64,0
554422375,SMP,1,4.48,4.66,4.66,4.66,92.75,643.9,81.34,641.05,0
554424402,SMP,1,4.48,4.84,4.84,4.66,98.94,651.06,73.73,642.81,0
554426372,SMP,1,4.48,4.84,4.66,4.48,92.24,650.04,74.76,648.07,0
554428372,SMP,1,4.48,4.84,4.66,4.48,97.33,649.74,76.67,650.99,0
554430370,SMP,1,4.48,4.84,4.66,4.84,95.09,645.16,72.78,643.21,0
554432373,SMP,1,4.66,4.84,4.66,4.84,85.34,648.02,77.95,642.28,0
554434371,SMP,1,4.48,4.84,4.66,4.84,91.23,652.76,78.4,643.23,0
554436371,SMP,1,4.48,4.84,4.66,4.66,95.02,646.97,75.31,636.71,0
554438381,SMP,1,4.48,4.66,4.66,4.66,95.04,644.83,81.19,637.97,0
554440382,SMP,1,4.48,4.84,4.66,4.66,93.65,640.88,79.0,645.94,0
554442382,SMP,1,4.48,4.66,4.66,4.48,90.73,651.69,79.05,643.87,0
554444382,SMP,1,4.48,4.84,4.66,4.84,90.96,645.74,71.04,642.07,0
554446383,SMP,1,4.48,4.84,4.66,4.84,89.67,636.39,78.32,643.06,0
554448384,SMP,1,4.48,4.84,4.66,4.66,94.47,644.91,75.43,647.43,0
554450383,SMP,1,4.48,4.66,4.66,4.66,88.57,640.82,72.08,640.63,0
554452383,SMP,1,4.48,4.84,4.84,4.48,95.8,655.17,81.47,639.67,0
554454382,SMP,1,4.48,4.84,4.66,4.48,91.04,646.56,82.5,650.15,0
554456367,SMP,1,4.66,4.84,4.66,4.84,88.29,655.89,73.13,641.67,0
554458373,SMP,1,4.48,4.84,4.84,4.66,91.05,645.1,71.99,644.31,0
554460373,SMP,1,4.48,4.66,4.84,4.66,96.36,649.62,69.41,641.12,0
554462361,SMP,1,4.48,4.84,4.66,4.66,102.32,652.01,71.28,636.79,0
